 FACTOR  RND     RCT     UCT     GCT     QCT
 0.001   28.38   25.67   27.18   25.86   25.63
 .0032   28.43   25.59   27.11   25.65   25.61
  0.01   28.43   25.58   27.18    25.6   25.65
 .0316   28.26   25.65   27.08   25.69   25.55
   0.1   28.45   25.56   27.18   25.68   25.57
 .3162   28.25   25.56   27.08   25.67    25.5
   1.0   28.34   25.74   26.83   25.66   25.46
 3.162    28.4    25.6    26.3   25.83   25.59
  10.0    28.4   26.18   26.05   26.37   25.98
 31.62   28.21   27.54   27.22   27.51   27.21
