nsamples r_UCB r_GRD r_UVB
8 0.071171235126 0.0639054679774 0.0412111366588
16 0.047324878352 0.0387976800152 0.0319540765785
24 0.0341000401648 0.0287334557752 0.0265896140738
32 0.0263725302073 0.0232954664786 0.020966957438
40 0.0211049268985 0.0185377796401 0.0194744288602
48 0.0181793608581 0.0170129228089 0.0172285392125
56 0.015664084117 0.01459302613 0.015858741043
64 0.0132615491361 0.0131556108078 0.0148547530346
72 0.0125971902905 0.0129188361995 0.0134726637754
80 0.0114271138584 0.0111129377818 0.0127504529191
88 0.0101333760654 0.0109147709557 0.0118798421764
96 0.009450563407 0.00932765805691 0.0118662879365
104 0.00858955702419 0.00910798258111 0.0100014114723
112 0.00803782020765 0.0086355805125 0.00986088200162
120 0.00729941555792 0.00803520495991 0.00953960984959
128 0.0065115127561 0.00788185903582 0.00947359774137
136 0.00637937080828 0.00734863985274 0.00842074630378
144 0.00626188246997 0.00752849657481 0.00813495041615
152 0.00571002684725 0.00700176280132 0.00800451822479
160 0.0052452106782 0.00600433058422 0.00751983005812
168 0.0048264530553 0.00626139592494 0.00727115478571
176 0.00503399581512 0.00603443088865 0.00714119102003
184 0.00496730002644 0.00566775014947 0.00656077422043
192 0.00437116056454 0.00560748526594 0.00680068243187
200 0.00417158047762 0.00497283241771 0.00661443875521
208 0.00420897857759 0.00530840928939 0.006662458686
216 0.00388054478536 0.00492575254667 0.00609201184215
224 0.00388761890964 0.00467919722957 0.00565820040379
232 0.00352986178127 0.00478843696102 0.00578464096927
240 0.00357104145281 0.00429445332186 0.00607323594994
248 0.00351050224392 0.00444376344092 0.00525054775348
