nsamples r_UCB r_GRD r_UVB
16 0.0449166503498 0.0402197371413 0.0315367437148
32 0.0475754502123 0.0354965035496 0.0269298647444
48 0.0436375632903 0.0316483297512 0.0260893542261
64 0.0400400264388 0.0291728673632 0.0226079821993
80 0.0406388430011 0.0270469275373 0.0198196685439
96 0.0366229433807 0.0258682415848 0.0186124037917
112 0.0362432085345 0.0236396074541 0.0179285467566
128 0.0339132673641 0.022474965209 0.0168496726023
144 0.0325562871345 0.0215909046114 0.015912567136
160 0.0317354806793 0.0205231142401 0.0154886166899
176 0.030609365215 0.0192976178361 0.0145260660946
192 0.0294543709062 0.0191991367788 0.0139241636439
208 0.0291692390589 0.0183330409342 0.0138964996177
224 0.027728772082 0.017798243551 0.0136971410641
240 0.0273764011745 0.0176421232533 0.0129968774496
256 0.0271556252077 0.016684154691 0.0124874684792
272 0.0254402787216 0.016471587969 0.0128643330684
288 0.0254357132515 0.0155953343458 0.0124327344016
304 0.0251715883642 0.0152592301459 0.01207621069
320 0.02422347155 0.0152328457088 0.0116378535233
336 0.0235616133932 0.0152269828259 0.0115808040378
352 0.0234147214617 0.0142941895568 0.0112817678629
368 0.0230873417982 0.0144480352937 0.0112561315555
384 0.0224859992065 0.0139387373013 0.010799988012
400 0.0220408627408 0.0133302590785 0.0110093666681
416 0.0212797525829 0.0130651626099 0.0104490510208
432 0.0213015332279 0.0131495972147 0.0102502411377
448 0.0204635031046 0.0128390088354 0.0102721376605
464 0.0201901445399 0.0125491956969 0.010113338579
480 0.0200686959749 0.0125342513939 0.00986365146733
496 0.0198017903216 0.0119632599674 0.00980989095152
