nsamples r_UCB r_GRD r_UVB
8 0.0360534668698 0.0370855725477 0.0279087528928
16 0.0232964275797 0.023932003127 0.0204086887644
24 0.0165963054836 0.0168463007555 0.0164177033844
32 0.0128183634872 0.0144166330115 0.013270293667
40 0.0113252488123 0.0115728730392 0.0113216725583
48 0.00920052862643 0.0104945592146 0.01061316763
56 0.00770295791468 0.00895608300762 0.00943566015207
64 0.00658215483432 0.00799224120383 0.00912228601743
72 0.00612775010885 0.00703994961133 0.00846136242827
80 0.00525288468881 0.00659577892936 0.007572540385
88 0.00494316924596 0.00595789906903 0.00710990960137
96 0.00430926139794 0.00585203145529 0.00653903942188
104 0.00390535668619 0.00559205123819 0.00627867452566
112 0.00345003208774 0.00475438407069 0.00640287790924
120 0.00348845513835 0.00491661002225 0.00606687108555
128 0.00332174446183 0.00448723164874 0.00584013531582
136 0.00313167810024 0.00415106987988 0.0048547140604
144 0.00305381794498 0.00404195295274 0.00473131191823
152 0.00288166307021 0.00393764245807 0.00471771803008
160 0.00267124901126 0.00366132107343 0.00438852224749
168 0.00237854741286 0.00387199419346 0.00456566082907
176 0.00258954011239 0.0035870856284 0.00418102604085
184 0.00236363235641 0.00337881159127 0.00388464550537
192 0.00205763339633 0.00323289882977 0.00374714608169
200 0.00223101674644 0.00305007281421 0.0040660371926
208 0.00235027406568 0.00301705305733 0.00360639143433
216 0.00229140286552 0.00275892866518 0.00324942252592
224 0.00220129203982 0.00273678190965 0.00347706950044
232 0.00169671937925 0.00237825831812 0.00362949143274
240 0.00182410752419 0.00260820650708 0.00360965788034
248 0.00160625413702 0.00240864344371 0.00336752535558
