nsamples r_UCB r_GRD r_UVB
16 0.108229064555 0.0740751425684 0.0350678665885
32 0.0657652582418 0.0335168352022 0.0230263669932
48 0.0426135047931 0.022373193545 0.0182976152857
64 0.032660108423 0.0170242348563 0.0163212120503
80 0.024466731165 0.0144504165324 0.0152837393701
96 0.019119261988 0.0119857907156 0.013250628171
112 0.0170803891965 0.0116286797417 0.0124597203426
128 0.0145487938262 0.0104238517595 0.0116218235429
144 0.0121939763337 0.00972231202234 0.0114353414847
160 0.010623620076 0.00825872196537 0.0103585718663
176 0.00963708928908 0.00837548695987 0.00976564337433
192 0.00877355261139 0.00751782897803 0.00887345888878
208 0.0083634456464 0.00740248728677 0.00871848856327
224 0.00732417681446 0.00693862737565 0.00870256798027
240 0.00675867349804 0.00673792881695 0.00803158194415
256 0.00615945636313 0.00614978561001 0.00741299031466
272 0.00521884890479 0.0059024861939 0.00778528426003
288 0.0053185585673 0.00566401761816 0.00695744359185
304 0.00507599786656 0.0060822397424 0.00706539827097
320 0.00484180964101 0.00515272588771 0.00687598167798
336 0.00448695013274 0.00498689752341 0.00681052546956
352 0.00451624306814 0.00481328415494 0.00662990457602
368 0.00388640628625 0.00460208413089 0.00645558399004
384 0.00386861625368 0.00466039962102 0.00596074520224
400 0.00346797315933 0.0041177673779 0.00543231403818
416 0.00352891349871 0.00409451339964 0.0058061489695
432 0.00325512328875 0.00408199328204 0.00550017567938
448 0.00291716341743 0.00378459733241 0.0054870548557
464 0.00300851511419 0.00416872339415 0.00518997584324
480 0.00288102250561 0.00353726049593 0.00536831893377
496 0.00294659263666 0.00379954926269 0.00498207390244
