nsamples r_UCT r_GCT r_TCT r_HCT r_ECT r_BCT
32 .1793167 .2135667 .1582667 .1534667 .1562167    0.155
64 .1265333   0.1322   0.0595  0.06065 .0581333 .0594833
96 .0847333 .0730667 .0270667 .0267833 .0271333 .0247167
160 .0470667  0.02575 .0090333 .0076833 .0078667 .0077667
256 .0207333   0.0079 .0047333   0.0028  0.00315 .0029833
384  0.00905 .0032833 .0028833 .0013333 .0016667 .0014833
544   0.0029  0.00205 .0020833 .0006667 .0007333 .0006667
800 .0011167 .0012333   0.0013 .0004333   0.0001 .0004167
1152  0.00045 .0005833 .0006833   0.0001  0.00005   0.0002
1632   0.0001 .0004833 .0003833 .0000833 .0000167 .0000833
